nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;27;0.384951;78;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;30;0.396817;78;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;180;33;0.418388;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;3;0.345601;77;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;6;0.354413;80;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;9;0.366544;82;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;12;0.367405;82;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;15;0.362778;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;18;0.351514;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;21;0.391043;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;24;0.367872;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;27;0.425487;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;30;0.418055;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;140;33;0.432856;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;3;0.487956;79;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;6;0.546735;82;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;9;0.510414;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;12;0.496291;81;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;15;0.540427;79;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;18;0.499817;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;21;0.499492;82;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;24;0.546821;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;27;0.515564;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;30;0.589922;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;100;33;0.598567;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;3;0.899749;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;6;0.828555;82;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;9;0.911402;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;12;0.879747;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;15;0.907422;79;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;18;0.891173;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;21;1.01561;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;24;0.952279;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;27;0.945607;82;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;30;1.01298;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2.2;60;33;0.974899;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;3;0.352582;81;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;6;0.356196;80;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;9;0.360208;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;12;0.369234;79;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;15;0.379706;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;18;0.386254;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;21;0.398123;82;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;24;0.414309;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;27;0.425693;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;30;0.446677;82;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;240;33;0.462214;82;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;3;0.362592;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;6;0.357604;79;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;9;0.363293;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;12;0.370163;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;15;0.374298;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;18;0.385807;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;21;0.394647;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;24;0.415706;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;27;0.433293;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;30;0.440014;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;180;33;0.468535;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;3;0.377628;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;6;0.410221;80;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;9;0.388881;79;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;12;0.412404;79;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;15;0.402908;79;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;18;0.437656;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;21;0.438557;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;24;0.431555;78;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;27;0.456036;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;30;0.482904;82;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;140;33;0.519376;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;3;0.575438;79;~105;10.2923;30.8766
