comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.82          217                1                  128       1         0         2         300            8192        0           1           .001657      NA          .011849           2.306211            2.306211           1.82                 217           99
1.73          219                1                  128       1         0         2         300            40960       0           0           0.047828     NA          0.292872          29.925895           29.925894          31.02                362           1
1.58          217                1                  128       1         0         2         300            40960       0           1           0.054926     NA          0.284424          32.785278           32.785277          1.58                 217           100
1.86          217                1                  128       1         0         2         500            4096        0           0           0.004985     NA          0.036439          21.527223           21.527222          23.05                39            0
1.53          217                1                  128       1         0         2         500            4096        0           1           0.006005     NA          0.038615          21.538057           21.538056          1.53                 217           99
1.72          217                1                  128       1         0         2         500            8192        0           0           0.014895     NA          0.070712          21.561102           21.561100          23.10                76            0
1.52          216                1                  128       1         0         2         500            8192        0           1           .001337      NA          .009569           3.267678            3.267677           1.52                 216           100
1.52          216                1                  128       1         0         2         500            40960       0           0           0.049430     NA          0.297399          46.710789           46.710788          48.42                362           0
1.72          216                1                  128       1         0         2         500            40960       0           1           0.059378     NA          0.313146          56.281364           56.281363          1.72                 216           99
1.44          217                1                  128       1         0         2         1000           4096        0           0           0.007082     NA          0.042047          40.040132           40.040131          43.06                39            0
1.67          216                1                  128       1         0         2         1000           4096        0           1           0.005393     NA          0.040659          46.139560           46.139559          1.67                 216           99
1.73          217                1                  128       1         0         2         1000           8192        0           0           0.010196     NA          0.068441          47.055856           47.055855          50.10                75            0
1.57          218                1                  128       1         0         2         1000           8192        0           1           0.009080     NA          0.071944          60.076428           60.076427          1.57                 218           99
1.57          218                1                  128       1         0         2         1000           40960       0           0           0.047382     NA          0.289459          116.268917          116.268915         119.49               362           0
1.73          218                1                  128       1         0         2         1000           40960       0           1           .006420      NA          .033864           10.825967           10.825967          1.73                 218           99
1.54          215                1                  128       1         0         3         1              4096        0           0           0.005146     NA          0.010921          0.078313            0.078313           0.11                 27            28
1.49          219                1                  128       1         0         3         1              4096        0           1           .000863      NA          .002913           .017219             .017219            1.49                 219           99
1.51          217                1                  128       1         0         3         1              8192        0           0           0.008678     NA          0.018340          0.118883            0.118882           0.17                 51            29
1.78          216                1                  128       1         0         3         1              8192        0           1           .001781      NA          .007317           .025667             .025666            1.78                 216           99
1.53          215                1                  128       1         0         3         1              40960       0           0           0.043484     NA          0.120851          0.437561            0.437561           0.66                 243           41
1.52          215                1                  128       1         0         3         1              40960       0           1           .011312      NA          .034477           .079877             .079877            1.52                 215           99
1.52          216                1                  128       1         0         3         5              4096        0           0           0.005813     NA          0.011842          0.244042            0.244041           0.28                 27            11
1.62          215                1                  128       1         0         3         5              4096        0           1           .000856      NA          .004060           .037276             .037276            1.62                 215           99
1.56          216                1                  128       1         0         3         5              8192        0           0           0.013247     NA          0.031308          0.285500            0.285499           0.34                 51            21
1.83          216                1                  128       1         0         3         5              8192        0           1           .001666      NA          .006869           .045207             .045207            1.83                 216           99
1.68          216                1                  128       1         0         3         5              40960       0           0           0.044363     NA          0.110122          0.724695            0.724694           0.95                 243           29
1.42          215                1                  128       1         0         3         5              40960       0           1           .010008      NA          .035090           .115229             .115229            1.42                 215           99
1.79          215                1                  128       1         0         3         10             4096        0           0           0.003422     NA          0.009286          0.400324            0.400324           0.45                 27            5
1.68          216                1                  128       1         0         3         10             4096        0           1           .000813      NA          .003921           .067884             .067883            1.68                 216           100
1.51          216                1                  128       1         0         3         10             8192        0           0           0.007141     NA          0.019138          0.524944            0.524943           0.61                 51            8
1.65          215                1                  128       1         0         3         10             8192        0           1           .001803      NA          .007670           .084273             .084273            1.65                 215           100
1.61          217                1                  128       1         0         3         10             40960       0           0           0.072840     NA          0.150237          1.283877            1.283876           1.55                 243           23
1.69          218                1                  128       1         0         3         10             40960       0           1           .011414      NA          .039875           .202452             .202452            1.69                 218           99
1.72          216                1                  128       1         0         3         20             4096        0           0           0.006512     NA          0.017275          0.911091            0.911090           0.99                 27            4
1.42          215                1                  128       1         0         3         20             4096        0           1           .000860      NA          .004019           .138777             .138777            1.42                 215           100
1.71          215                1                  128       1         0         3         20             8192        0           0           0.007226     NA          0.019265          0.962566            0.962565           1.07                 51            4
1.66          216                1                  128       1         0         3         20             8192        0           1           .001610      NA          .006708           .159067             .159067            1.66                 216           99
1.71          216                1                  128       1         0         3         20             40960       0           0           0.069433     NA          0.154803          2.359105            2.359104           2.64                 247           13
1.66          216                1                  128       1         0         3         20             40960       0           1           .010581      NA          .037000           .380984             .380983            1.66                 216           99
1.41          216                1                  128       1         0         3         40             4096        0           0           0.005244     NA          0.015188          1.705244            1.705243           1.85                 27            1
1.70          215                1                  128       1         0         3         40             4096        0           1           .000814      NA          .003955           .286865             .286865            1.70                 215           100
1.52          216                1                  128       1         0         3         40             8192        0           0           0.008863     NA          0.021728          2.137513            2.137512           2.29                 51            2
1.49          215                1                  128       1         0         3         40             8192        0           1           .001619      NA          .008357           .340815             .340815            1.49                 215           99
1.51          215                1                  128       1         0         3         40             40960       0           0           0.043885     NA          0.116687          4.578923            4.578923           4.90                 243           5
1.51          216                1                  128       1         0         3         40             40960       0           1           .011236      NA          .038771           .745394             .745394            1.51                 216           99
1.69          219                1                  128       1         0         3         60             4096        0           0           0.006544     NA          0.017614          2.555504            2.555503           2.76                 27            1
1.68          216                1                  128       1         0         3         60             4096        0           1           .000874      NA          .004102           .422779             .422779            1.68                 216           99
1.52          215                1                  128       1         0         3         60             8192        0           0           0.008641     NA          0.024181          3.178158            3.178157           3.40                 51            1
1.50          216                1                  128       1         0         3         60             8192        0           1           .001601      NA          .006941           .500952             .500952            1.50                 216           99
1.89          217                1                  128       1         0         3         60             40960       0           0           0.068433     NA          0.130674          6.635568            6.635567           7.02                 243           4
1.67          216                1                  128       1         0         3         60             40960       0           1           .010293      NA          .037720           1.108850            1.108850           1.67                 216           99
1.81          216                1                  128       1         0         3         80             4096        0           0           0.006543     NA          0.017277          3.230341            3.230340           3.48                 27            1
1.79          216                1                  128       1         0         3         80             4096        0           1           .000837      NA          .004058           .608360             .608360            1.79                 216           100
1.50          215                1                  128       1         0         3         80             8192        0           0           0.010015     NA          0.031608          4.213906            4.213905           4.50                 51            1
1.50          216                1                  128       1         0         3         80             8192        0           1           .001656      NA          .007197           .707611             .707611            1.50                 216           99
1.49          215                1                  128       1         0         3         80             40960       0           0           0.046434     NA          0.116922          9.026935            9.026934           9.48                 243           3
1.69          217                1                  128       1         0         3         80             40960       0           1           .009897      NA          .032820           1.446880            1.446879           1.69                 217           99
1.66          216                1                  128       1         0         3         100            4096        0           0           0.006686     NA          0.016671          4.236508            4.236507           4.56                 27            0
1.49          215                1                  128       1         0         3         100            4096        0           1           .000754      NA          .003936           .707742             .707742            1.49                 215           100
1.71          215                1                  128       1         0         3         100            8192        0           0           0.013598     NA          0.034977          5.460449            5.460448           5.80                 51            1
1.48          216                1                  128       1         0         3         100            8192        0           1           .001781      NA          .008773           .884315             .884315            1.48                 216           99
1.50          215                1                  128       1         0         3         100            40960       0           0           0.070589     NA          0.160059          11.256912           11.256911          11.76                243           3
1.40          216                1                  128       1         0         3         100            40960       0           1           .010387      NA          .040697           1.825301            1.825301           1.40                 216           99
1.73          216                1                  128       1         0         3         300            4096        0           0           0.005613     NA          0.017620          13.830921           13.830920          14.75                27            0
1.68          215                1                  128       1         0         3         300            4096        0           1           .000909      NA          .003998           2.333020            2.333020           1.68                 215           99
1.59          215                1                  128       1         0         3         300            8192        0           0           0.013290     NA          0.033536          16.853928           16.853927          17.78                51            0
1.67          216                1                  128       1         0         3         300            8192        0           1           .001668      NA          .008093           2.723286            2.723286           1.67                 216           100
1.66          216                1                  128       1         0         3         300            40960       0           0           0.070524     NA          0.179406          32.061325           32.061324          33.18                243           1
1.51          216                1                  128       1         0         3         300            40960       0           1           .010547      NA          .040334           5.425074            5.425074           1.51                 216           99
1.53          215                1                  128       1         0         3         500            4096        0           0           0.005550     NA          0.016002          24.031896           24.031895          25.57                27            0
1.70          215                1                  128       1         0         3         500            4096        0           1           .000826      NA          .004293           3.824163            3.824162           1.70                 215           99
1.55          216                1                  128       1         0         3         500            8192        0           0           0.014087     NA          0.037079          28.052668           28.052667          29.59                53            0
1.67          218                1                  128       1         0         3         500            8192        0           1           .001587      NA          .007221           4.588946            4.588945           1.67                 218           100
1.50          216                1                  128       1         0         3         500            40960       0           0           0.073623     NA          0.165221          55.250872           55.250870          56.99                243           0
1.53          216                1                  128       1         0         3         500            40960       0           1           0.049041     NA          0.246396          55.729611           55.729610          1.53                 216           100
1.56          216                1                  128       1         0         3         1000           4096        0           0           0.006808     NA          0.019424          46.034417           46.034416          49.05                27            0
1.67          215                1                  128       1         0         3         1000           4096        0           1           0.004151     NA          0.013022          50.033067           50.033066          1.67                 215           99
1.53          216                1                  128       1         0         3         1000           8192        0           0           0.013944     NA          0.038671          58.063421           58.063419          61.10                51            0
1.70          216                1                  128       1         0         3         1000           8192        0           1           .001743      NA          .009372           9.060693            9.060693           1.70                 216           100
1.80          215                1                  128       1         0         3         1000           40960       0           0           0.042801     NA          0.148750          112.273361          112.273359         115.50               244           0
1.72          215                1                  128       1         0         3         1000           40960       0           1           .006291      NA          .037218           15.200142           15.200142          1.72                 215           99
1.69          215                1                  128       1         0         4         1              4096        0           0           0.005748     NA          0.018296          0.078330            0.078329           0.10                 27            37
1.49          215                1                  128       1         0         4         1              4096        0           1           .000747      NA          .002744           .016824             .016823            1.49                 215           99
1.50          216                1                  128       1         0         4         1              8192        0           0           0.008127     NA          0.024215          0.132736            0.132735           0.18                 51            33
1.47          216                1                  128       1         0         4         1              8192        0           1           .001496      NA          .005138           .021500             .021500            1.47                 216           99
1.78          216                1                  128       1         0         4         1              40960       0           0           0.044629     NA          0.132020          0.385630            0.385630           0.61                 242           50
1.49          216                1                  128       1         0         4         1              40960       0           1           .010366      NA          .036482           .071790             .071790            1.49                 216           100
1.55          215                1                  128       1         0         4         5              4096        0           0           0.005763     NA          0.016840          0.218038            0.218037           0.25                 27            15
1.52          216                1                  128       1         0         4         5              4096        0           1           .000780      NA          .003858           .036055             .036055            1.52                 216           99
1.52          215                1                  128       1         0         4         5              8192        0           0           0.006210     NA          0.020174          0.261432            0.261431           0.32                 51            16
1.41          215                1                  128       1         0         4         5              8192        0           1           .001469      NA          .005797           .041399             .041398            1.41                 215           100
1.69          216                1                  128       1         0         4         5              40960       0           0           0.064583     NA          0.141046          0.645076            0.645076           0.88                 242           40
1.76          216                1                  128       1         0         4         5              40960       0           1           .009584      NA          .030083           .104805             .104805            1.76                 216           99
1.66          215                1                  128       1         0         4         10             4096        0           0           0.005063     NA          0.016895          0.426573            0.426572           0.48                 27            8
1.66          216                1                  128       1         0         4         10             4096        0           1           .000768      NA          .004171           .068035             .068034            1.66                 216           99
1.50          214                1                  128       1         0         4         10             8192        0           0           0.012700     NA          0.035338          0.490415            0.490414           0.57                 51            14
1.75          215                1                  128       1         0         4         10             8192        0           1           .001374      NA          .006370           .076492             .076492            1.75                 215           100
1.70          216                1                  128       1         0         4         10             40960       0           0           0.064334     NA          0.170260          1.105510            1.105509           1.36                 242           27
1.55          215                1                  128       1         0         4         10             40960       0           1           .009225      NA          .033621           .174801             .174801            1.55                 215           99
1.69          216                1                  128       1         0         4         20             4096        0           0           0.005758     NA          0.013330          0.825487            0.825486           0.90                 27            3
1.68          216                1                  128       1         0         4         20             4096        0           1           .000779      NA          .003587           .131938             .131938            1.68                 216           99
1.49          216                1                  128       1         0         4         20             8192        0           0           0.011413     NA          0.032771          0.963353            0.963352           1.08                 51            7
1.40          216                1                  128       1         0         4         20             8192        0           1           .001544      NA          .006937           .156013             .156012            1.40                 216           100
1.40          215                1                  128       1         0         4         20             40960       0           0           0.041222     NA          0.129354          2.030532            2.030531           2.30                 242           12
1.67          216                1                  128       1         0         4         20             40960       0           1           .009524      NA          .036127           .332412             .332412            1.67                 216           99
1.66          216                1                  128       1         0         4         40             4096        0           0           0.005777     NA          0.018957          1.473502            1.473501           1.61                 27            2
1.51          215                1                  128       1         0         4         40             4096        0           1           .000740      NA          .004670           .270767             .270767            1.51                 215           99
1.68          215                1                  128       1         0         4         40             8192        0           0           0.012511     NA          0.037832          1.986313            1.986312           2.15                 51            3
1.69          216                1                  128       1         0         4         40             8192        0           1           .001553      NA          .006338           .301769             .301769            1.69                 216           99
1.49          216                1                  128       1         0         4         40             40960       0           0           0.063131     NA          0.155494          4.064074            4.064073           4.38                 242           8
1.78          216                1                  128       1         0         4         40             40960       0           1           .009583      NA          .033074           .662965             .662965            1.78                 216           99
1.47          215                1                  128       1         0         4         60             4096        0           0           0.004287     NA          0.018548          2.673721            2.673720           2.88                 27            1
1.69          215                1                  128       1         0         4         60             4096        0           1           .000724      NA          .003831           .410266             .410266            1.69                 215           100
1.49          216                1                  128       1         0         4         60             8192        0           0           0.011435     NA          0.035340          2.817390            2.817389           3.04                 51            2
1.65          215                1                  128       1         0         4         60             8192        0           1           .001408      NA          .007908           .473596             .473596            1.65                 215           99
1.51          215                1                  128       1         0         4         60             40960       0           0           0.050324     NA          0.130358          5.959225            5.959224           6.35                 242           5
1.40          215                1                  128       1         0         4         60             40960       0           1           .009585      NA          .035557           .968440             .968440            1.40                 215           99
1.53          216                1                  128       1         0         4         80             4096        0           0           0.004637     NA          0.012372          3.873370            3.873369           4.13                 27            0
1.51          216                1                  128       1         0         4         80             4096        0           1           .000841      NA          .004788           .550773             .550773            1.51                 216           99
1.79          215                1                  128       1         0         4         80             8192        0           0           0.011347     NA          0.033852          4.217737            4.217735           4.49                 51            1
1.67          215                1                  128       1         0         4         80             8192        0           1           .001375      NA          .007557           .657008             .657008            1.67                 215           99
