comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.74          228                1                  0    1        128       2         1         0         2         28672       0           0           0.000247     NA          0.004928          0.003529            0.003528           0.01                 5             78
0.02          3                  1                  0    1        128       2         1         0         2         28672       0           1           .000040      NA          .000822           .000731             .000731            0.01                 5             336
2.71          229                1                  0    1        128       2         1         0         2         32768       0           0           0.000299     NA          0.004526          0.003903            0.003901           0.02                 5             45
0.02          3                  1                  0    1        128       2         1         0         2         32768       0           1           .000045      NA          .000779           .001097             .001097            0.02                 7             256
2.73          230                1                  0    1        128       2         1         0         2         36864       0           0           0.000606     NA          0.006447          0.007215            0.007214           0.02                 6             65
0.02          3                  1                  0    1        128       2         1         0         2         36864       0           1           .000054      NA          .000939           .000795             .000795            0.02                 6             350
2.74          229                1                  0    1        128       2         1         0         2         40960       0           0           0.000371     NA          0.007068          0.006341            0.006340           0.01                 6             72
0.02          3                  1                  0    1        128       2         1         0         2         40960       0           1           .000057      NA          .001083           .000920             .000920            0.02                 6             357
2.75          229                1                  0    1        128       2         1         0         3         4096        0           0           0.000031     NA          0.000803          0.000446            0.000446           0.01                 3             31
0.02          3                  1                  0    1        128       2         1         0         3         4096        0           1           .000007      NA          .000167           .000282             .000282            0.01                 4             211
2.74          229                1                  0    1        128       2         1         0         3         8192        0           0           0.000054     NA          0.001637          0.001233            0.001232           0.01                 3             61
0.02          3                  1                  0    1        128       2         1         0         3         8192        0           1           .000012      NA          .000275           .000276             .000276            0.01                 4             268
2.73          230                1                  0    1        128       2         1         0         3         12288       0           0           0.000058     NA          0.001794          0.001294            0.001293           0.01                 4             31
0.02          3                  1                  0    1        128       2         1         0         3         12288       0           1           .000016      NA          .000354           .000382             .000382            0.01                 4             244
2.73          229                1                  0    1        128       2         1         0         3         16384       0           0           0.000075     NA          0.002497          0.001746            0.001744           0.01                 4             58
0.02          3                  1                  0    1        128       2         1         0         3         16384       0           1           .000021      NA          .000462           .000577             .000577            0.01                 5             261
2.74          229                1                  0    1        128       2         1         0         3         20480       0           0           0.000100     NA          0.003549          0.002930            0.002929           0.01                 4             71
0.02          3                  1                  0    1        128       2         1         0         3         20480       0           1           .000024      NA          .000573           .000701             .000701            0.02                 5             270
2.74          229                1                  0    1        128       2         1         0         3         24576       0           0           0.000214     NA          0.003863          0.003474            0.003473           0.01                 4             73
0.02          3                  1                  0    1        128       2         1         0         3         24576       0           1           .000030      NA          .000647           .000903             .000903            0.02                 5             179
2.73          228                1                  0    1        128       2         1         0         3         28672       0           0           0.000246     NA          0.004404          0.003965            0.003964           0.01                 4             73
0.02          3                  1                  0    1        128       2         1         0         3         28672       0           1           .000034      NA          .000765           .001120             .001120            0.03                 5             193
2.73          229                1                  0    1        128       2         1         0         3         32768       0           0           0.000159     NA          0.005164          0.004598            0.004597           0.01                 4             66
0.02          3                  1                  0    1        128       2         1         0         3         32768       0           1           .000040      NA          .000850           .001067             .001067            0.02                 6             300
2.72          228                1                  0    1        128       2         1         0         3         36864       0           0           0.000147     NA          0.004469          0.003716            0.003715           0.01                 4             66
0.02          3                  1                  0    1        128       2         1         0         3         36864       0           1           .000046      NA          .000891           .001341             .001341            0.03                 6             223
