comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  latencies(ms)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.37          216                1                  2.8         512       1         0         1         18             40960       0           0           0.056682     NA          0.440979          2.659062            2.659061           3.17                 1274          28
1.39          216                1                  2.8         512       1         0         1         18             40960       0           1           .011757      NA          .084413           .443921             .443921            1.39                 216           99
1.38          216                1                  2.8         512       1         0         1         20             40960       0           0           0.056320     NA          0.433981          2.901007            2.901006           3.42                 1273          26
1.38          215                1                  2.8         512       1         0         1         20             40960       0           1           .011816      NA          .082785           .487461             .487461            1.38                 215           100
1.35          215                1                  2.8         512       1         0         2         1              40960       0           0           0.100725     NA          0.433033          0.776431            0.776430           1.29                 1438          73
1.35          214                1                  2.8         512       1         0         2         1              40960       0           1           .017153      NA          .085008           .147012             .147012            1.35                 214           100
1.34          214                1                  2.8         512       1         0         2         2              40960       0           0           0.101444     NA          0.441856          0.887192            0.887192           1.40                 1439          67
1.35          215                1                  2.8         512       1         0         2         2              40960       0           1           .017156      NA          .083998           .159501             .159501            1.35                 215           99
1.35          215                1                  2.8         512       1         0         2         4              40960       0           0           0.099908     NA          0.429027          1.374192            1.374191           1.89                 1438          49
1.35          214                1                  2.8         512       1         0         2         4              40960       0           1           .016966      NA          .082746           .238342             .238342            1.35                 214           100
1.36          215                1                  2.8         512       1         0         2         6              40960       0           0           0.099913     NA          0.424373          1.852630            1.852629           2.38                 1438          39
1.35          214                1                  2.8         512       1         0         2         6              40960       0           1           .016830      NA          .079661           .319994             .319994            1.35                 214           99
1.36          215                1                  2.8         512       1         0         2         8              40960       0           0           0.100348     NA          0.434295          2.354867            2.354866           2.88                 1438          32
