nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.8;200;32.9458;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;10;0.162419;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;20;0.433165;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;30;0.875168;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;40;1.5918;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;50;2.34698;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;60;3.40956;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;70;4.45991;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;80;6.06571;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;90;7.55846;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;100;9.0888;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;110;10.9047;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;120;13.055;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;130;15.0699;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;140;17.2129;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;150;20.3647;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;160;23.0233;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;170;25.6894;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;180;28.9097;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;190;32.1693;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.7;200;35.2509;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;10;0.149063;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;20;0.471347;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;30;0.962672;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;40;1.62515;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;50;2.50611;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;60;3.51646;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;70;4.72746;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;80;6.29283;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;90;7.82745;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;100;9.79917;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;110;11.4104;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;120;13.7796;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;130;16.1953;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;140;18.5886;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;150;21.3656;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;160;24.8133;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;170;27.704;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;180;30.9518;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;190;34.0122;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.6;200;37.9378;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;10;0.158109;NA;NA;1.31998;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;20;0.493007;NA;NA;2.62294;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;30;0.995317;NA;NA;4.7387;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;40;1.75582;NA;NA;7.66726;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;50;2.63143;NA;NA;11.4086;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;60;3.70287;NA;NA;16.7925;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;70;4.90566;NA;NA;22.1595;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;80;6.55709;NA;NA;29.1689;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;90;8.09328;NA;NA;36.9912;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;100;10.1325;NA;NA;44.7966;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;110;12.2611;NA;NA;54.2445;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;120;14.5393;NA;NA;64.5051;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;130;16.8245;NA;NA;75.5786;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;140;19.6797;NA;NA;87.4649;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;150;22.2834;NA;NA;100.164;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;160;25.1344;NA;NA;113.676;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;170;29.187;NA;NA;128.83;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;180;32.9953;NA;NA;143.968;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;190;35.2811;NA;NA;159.918;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;1.5;200;39.0146;NA;NA;177.511;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;10;0.0922278;NA;NA;0.031358;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;20;0.295672;NA;NA;0.113468;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;30;0.655127;NA;NA;0.246378;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;40;1.14654;NA;NA;0.430088;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;50;1.69057;NA;NA;0.664598;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;60;2.39589;NA;NA;0.949908;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;70;3.31215;NA;NA;1.28602;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;80;4.29789;NA;NA;1.67293;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;90;5.34735;NA;NA;2.11064;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;100;6.69388;NA;NA;2.59915;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;110;7.99065;NA;NA;3.13846;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;120;9.43513;NA;NA;3.72857;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;130;11.2416;NA;NA;4.36948;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;140;12.9132;NA;NA;5.06119;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;150;14.9679;NA;NA;5.8037;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;160;16.8017;NA;NA;6.59701;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;170;19.0581;NA;NA;7.44112;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;180;21.6262;NA;NA;8.33603;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;190;23.7254;NA;NA;9.28174;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.3;200;26.7668;NA;NA;10.2782;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;10;0.0869222;NA;NA;0.031358;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;20;0.311748;NA;NA;0.113468;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;30;0.659186;NA;NA;0.246378;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;40;1.12245;NA;NA;0.430088;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;50;1.75909;NA;NA;0.664598;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;60;2.48067;NA;NA;0.949908;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;70;3.27349;NA;NA;1.28602;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;80;4.2945;NA;NA;1.67293;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;90;5.42616;NA;NA;2.11064;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;100;6.44084;NA;NA;2.59915;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;110;8.12407;NA;NA;3.13846;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;120;9.66795;NA;NA;3.72857;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;130;11.1013;NA;NA;4.36948;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;140;13.0869;NA;NA;5.06119;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;150;14.8768;NA;NA;5.8037;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;3;2.2;160;17.5605;NA;NA;6.59701;NA
