program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 5200        5.8498               5.94                 44            103        ~41884        14.0914         41.2776
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 5600        5.69436              5.78                 42            108        ~45084        14.5042         42.5096
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 6000        6.8757               6.97                 42            94         ~48284        14.917          43.7416
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 6400        6.83208              6.92                 42            102        ~51484        15.3298         44.9736
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 6800        7.30901              7.39                 42            101        ~54684        15.7426         46.2056
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 7200        7.14666              7.23                 42            103        ~57884        16.1554         47.4376
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 7600        8.32608              8.40                 42            98         ~61084        16.5682         48.6696
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 8000        8.53203              8.62                 42            105        ~64284        16.981          49.9016
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 8400        9.29425              9.39                 42            98         ~67484        17.3938         51.1336
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 8800        8.7816               8.87                 42            114        ~70684        17.8066         52.3656
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 9200        9.84618              9.93                 42            106        ~73884        18.2194         53.5976
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 9600        9.32046              9.41                 42            108        ~77084        18.6322         54.8296
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 10000       9.97707              10.06                40            106        ~80284        19.045          56.0616
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 10400       10.9402              11.02                45            101        ~83748        27.3529         80.0653
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 10800       14.8366              14.92                43            93         ~86956        28.5954         83.7865
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 11200       11.6932              11.78                43            113        ~90156        29.0082         85.0185
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 11600       14.9572              15.03                43            91         ~93356        29.421          86.2505
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 12000       13.1928              13.28                43            98         ~96556        29.8338         87.4825
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 12400       13.4015              13.49                43            104        ~99756        30.2466         88.7145
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 12800       16.8835              16.97                45            91         ~102956       30.6594         89.9465
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 13200       14.0817              14.16                43            104        ~106156       31.0722         91.1785
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 13600       13.8119              13.90                43            103        ~109356       31.485          92.4105
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 14000       16.7427              16.83                43            93         ~112556       31.8978         93.6425
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 14400       18.2435              18.32                45            93         ~115756       32.3106         94.8745
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 14800       15.6366              15.72                43            107        ~118956       32.7234         96.1065
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 15200       15.5433              15.62                43            105        ~122156       33.1362         97.3385
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 15600       16.4159              16.51                45            100        ~125356       33.549          98.5705
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 16000       16.6569              16.74                44            108        ~128556       33.9618         99.8025
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 16400       17.2429              17.32                43            103        ~131756       34.3746         101.034
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 16800       17.88                17.96                43            102        ~134956       34.7874         102.266
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 17200       17.3888              17.47                43            110        ~138156       35.2002         103.498
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 17600       19.6228              19.71                44            96         ~141356       35.613          104.73
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 18000       20.2291              20.31                43            100        ~144556       36.0258         105.962
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 18400       20.1113              20.19                43            102        ~147756       36.4386         107.194
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 18800       19.4859              19.57                41            104        ~150956       36.8514         108.426
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 19200       19.46                19.55                41            113        ~154156       37.2642         109.658
31       RING      malhonest      malicious-rep-ring  3          0.14          17                 19600       20.3858              20.47                43            107        ~157356       37.677          110.89
31       RING      malhonest      malicious-rep-ring  3          0.13          17                 20000       23.0151              23.10                45            96         ~160556       38.0898         112.122
31       RING      malhonest      ps-rep-ring         3          0.14          17                 10          0.594674             0.68                 42            83         ~364          8.73533         25.2924
31       RING      malhonest      ps-rep-ring         3          0.14          17                 400         0.94462              1.03                 42            90         ~3484         9.13781         26.4936
31       RING      malhonest      ps-rep-ring         3          0.14          17                 800         1.35527              1.43                 42            99         ~6684         9.55061         27.7256
31       RING      malhonest      ps-rep-ring         3          0.13          17                 1200        1.63227              1.71                 44            98         ~9884         9.96341         28.9576
31       RING      malhonest      ps-rep-ring         3          0.14          17                 1600        2.2291               2.32                 42            97         ~13084        10.3762         30.1896
31       RING      malhonest      ps-rep-ring         3          0.14          17                 2000        2.43373              2.52                 42            97         ~16284        10.789          31.4216
31       RING      malhonest      ps-rep-ring         3          0.14          17                 2400        3.09697              3.19                 42            93         ~19484        11.2018         32.6536
31       RING      malhonest      ps-rep-ring         3          0.13          17                 2800        3.36527              3.45                 44            96         ~22684        11.6146         33.8856
31       RING      malhonest      ps-rep-ring         3          0.14          17                 3200        3.59505              3.68                 44            104        ~25884        12.0274         35.1176
31       RING      malhonest      ps-rep-ring         3          0.14          17                 3600        4.08821              4.16                 42            99         ~29084        12.4402         36.3496
31       RING      malhonest      ps-rep-ring         3          0.14          17                 4000        4.34142              4.43                 44            105        ~32284        12.853          37.5816
31       RING      malhonest      ps-rep-ring         3          0.14          17                 4400        5.31876              5.40                 44            105        ~35484        13.2658         38.8136
31       RING      malhonest      ps-rep-ring         3          0.13          17                 4800        5.28457              5.37                 42            100        ~38684        13.6786         40.0456
31       RING      malhonest      ps-rep-ring         3          0.14          17                 5200        5.4713               5.56                 42            102        ~41884        14.0914         41.2776
31       RING      malhonest      ps-rep-ring         3          0.14          17                 5600        5.96087              6.04                 42            108        ~45084        14.5042         42.5096
31       RING      malhonest      ps-rep-ring         3          0.14          17                 6000        6.26186              6.35                 40            108        ~48284        14.917          43.7416
31       RING      malhonest      ps-rep-ring         3          0.14          17                 6400        6.61247              6.70                 42            115        ~51484        15.3298         44.9736
31       RING      malhonest      ps-rep-ring         3          0.13          17                 6800        8.40954              8.49                 42            93         ~54684        15.7426         46.2056
31       RING      malhonest      ps-rep-ring         3          0.13          17                 7200        7.62756              7.71                 40            102        ~57884        16.1554         47.4376
31       RING      malhonest      ps-rep-ring         3          0.13          17                 7600        7.88395              7.97                 42            110        ~61084        16.5682         48.6696
31       RING      malhonest      ps-rep-ring         3          0.13          17                 8000        8.45454              8.55                 42            112        ~64284        16.981          49.9016
31       RING      malhonest      ps-rep-ring         3          0.13          17                 8400        8.59687              8.68                 43            105        ~67484        17.3938         51.1336
