program  c.domain  adv.model      protocol            partysize  comp.time(s)  comp.peakRAM(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)        Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
31       FIELD     semihonest     replicated-field    3          0.17          18                 13600         1             NA            NA            NA            NA           1414400       856800           NA               95203          13600       16.9624              17.05                19            104        ~95487        52.064          155.597          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.18          18                 14000         1             NA            NA            NA            NA           1456000       882000           NA               98003          14000       18.6681              18.76                17            108        ~98295        53.44           160.032          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.18          18                 14400         1             NA            NA            NA            NA           1497600       907200           NA               100803         14400       18.3835              18.47                19            109        ~101103       54.976          164.467          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 14800         1             NA            NA            NA            NA           1539200       932400           NA               103603         14800       23.0911              23.18                17            89         ~103911       56.512          168.902          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 15200         1             NA            NA            NA            NA           1580800       957600           NA               106403         15200       20.4761              20.57                17            101        ~106721       58.208          174.138          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 15600         1             NA            NA            NA            NA           1622400       982800           NA               109203         15600       20.1224              20.21                19            104        ~109529       59.744          178.573          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 16000         1             NA            NA            NA            NA           1664000       1008000          NA               112003         16000       20.7867              20.87                17            107        ~112337       61.12           183.008          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 16400         1             NA            NA            NA            NA           1705600       1033200          NA               114803         16400       22.6926              22.77                16            96         ~115145       62.656          187.443          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.18          18                 16800         1             NA            NA            NA            NA           1747200       1058400          NA               117603         16800       22.3989              22.49                15            96         ~117953       64.192          191.878          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 17200         1             NA            NA            NA            NA           1788800       1083600          NA               120403         17200       22.8936              22.98                17            101        ~120761       65.568          196.314          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 17600         1             NA            NA            NA            NA           1830400       1108800          NA               123203         17600       22.6264              22.72                17            101        ~123571       67.424          201.549          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 18000         1             NA            NA            NA            NA           1872000       1134000          NA               126003         18000       22.5492              22.64                19            108        ~126379       68.8            205.984          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 18400         1             NA            NA            NA            NA           1913600       1159200          NA               128803         18400       23.7572              23.85                17            107        ~129187       70.336          210.419          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 18800         1             NA            NA            NA            NA           1955200       1184400          NA               131603         18800       24.4953              24.59                19            106        ~131995       71.872          214.854          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 19200         1             NA            NA            NA            NA           1996800       1209600          NA               134403         19200       24.5996              24.70                17            103        ~134803       73.248          219.29           NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.16          18                 19600         1             NA            NA            NA            NA           2038400       1234800          NA               137203         19600       30.0948              30.19                17            86         ~137611       74.784          223.725          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       FIELD     semihonest     replicated-field    3          0.17          18                 20000         1             NA            NA            NA            NA           2080000       1260000          NA               140003         20000       31.742               31.84                15            89         ~140419       76.32           228.16           NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semidishonest  semi2k              3          0.14          17                 10            1             NA            NA            NA            NA           NA            NA               630              223            10          0.346311             0.46                 71            105        ~885          15.0493         44.9957          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semidishonest  semi2k              3          0.14          17                 400           1             NA            NA            NA            NA           NA            NA               25200            8803           400         0.870293             0.98                 71            72         ~13365        15.848          46.5932          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semidishonest  semi2k              3          0.14          17                 800           1             NA            NA            NA            NA           NA            NA               50400            17603          800         1.41902              1.53                 70            65         ~26165        16.6672         48.2316          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
31       RING      semidishonest  semi2k              3          0.13          17                 1200          1             NA            NA            NA            NA           NA            NA               75600            26403          1200        2.30146              2.41                 72            59         ~39522        30.331          88.2721          NA        NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA           NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
