program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;35;30;23.4453;23.69;46;80;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;40;30;20.6031;20.84;47;91;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;45;30;18.3916;18.64;45;105;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;50;30;16.9518;17.19;45;117;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;55;30;16.2174;16.46;46;122;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;60;30;15.8072;16.04;46;126;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;65;30;14.922;15.17;47;131;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;70;30;14.6552;14.89;47;136;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;75;30;14.5357;14.77;45;138;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;80;30;13.9243;14.16;45;135;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;85;30;13.6567;13.89;47;142;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;90;30;13.4521;13.68;45;138;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;95;30;13.3602;13.60;47;141;NA;65.4223;NA
32;BINARY;malhonest;malicious-ccd;3;NA;NA;NA;100;30;13.2387;13.47;45;140;NA;65.4223;NA
32;BINARY;malhonest;ps-rep-bin;3;15.42;465;4;10;30;80.2935;80.52;392;15;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;15;30;53.2078;53.44;392;23;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;20;30;41.6425;41.88;392;29;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;25;30;34.6785;34.91;390;34;NA;76.1798;NA
