comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  1    128       1         0         2         15000            40960       0           1           .001361      NA          .045169           .042403             .042403            0.38                 326           560
1.47          241                1                  1    128       1         0         2         14500            40960       0           0           0.007118     NA          0.322979          0.253377            0.253376           0.36                 326           109
0.01          3                  1                  1    128       1         0         2         14500            40960       0           1           .001334      NA          .047924           .044716             .044715            0.39                 326           580
1.48          240                1                  1    128       1         0         2         14000            40960       0           0           0.007122     NA          0.309075          0.252176            0.252176           0.34                 326           116
0.01          3                  1                  1    128       1         0         2         14000            40960       0           1           .001310      NA          .045860           .044903             .044903            0.37                 326           580
1.50          241                1                  1    128       1         0         2         13500            40960       0           0           0.007131     NA          0.321267          0.251677            0.251677           0.35                 326           116
0.01          3                  1                  1    128       1         0         2         13500            40960       0           1           .001314      NA          .046464           .043632             .043631            0.38                 326           569
1.45          241                1                  1    128       1         0         2         13000            40960       0           0           0.007225     NA          0.326528          0.247593            0.247592           0.34                 326           123
0.01          3                  1                  1    128       1         0         2         13000            40960       0           1           .001311      NA          .046568           .044873             .044873            0.39                 326           570
1.45          240                1                  1    128       1         0         2         12500            40960       0           0           0.007276     NA          0.328588          0.252748            0.252747           0.35                 326           121
0.01          3                  1                  1    128       1         0         2         12500            40960       0           1           .001313      NA          .043805           .044471             .044471            0.39                 326           547
1.45          242                1                  1    128       1         0         2         12000            40960       0           0           0.007224     NA          0.331254          0.253550            0.253549           0.35                 326           122
0.01          3                  1                  1    128       1         0         2         12000            40960       0           1           .001308      NA          .048030           .044768             .044768            0.38                 326           599
1.49          241                1                  1    128       1         0         2         11500            40960       0           0           0.007281     NA          0.325932          0.246481            0.246480           0.34                 326           121
0.01          3                  1                  1    128       1         0         2         11500            40960       0           1           .001313      NA          .047935           .043969             .043969            0.37                 326           600
1.49          240                1                  1    128       1         0         2         11000            40960       0           0           0.007113     NA          0.287700          0.239463            0.239462           0.33                 326           114
0.01          3                  1                  1    128       1         0         2         11000            40960       0           1           .001313      NA          .043363           .044703             .044703            0.37                 326           557
1.50          241                1                  1    128       1         0         2         10500            40960       0           0           0.007226     NA          0.321451          0.245192            0.245191           0.34                 326           122
0.01          3                  1                  1    128       1         0         2         10500            40960       0           1           .001326      NA          .046110           .045004             .045004            0.37                 326           581
