nodes;program;c.domain;adv.model;protocol;partysize;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;140;350;46.5815;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;140;400;52.6521;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;140;450;58.8529;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;140;500;69.9046;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;10;4.62872;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;50;10.2028;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;100;17.7419;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;150;24.8958;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;200;32.4382;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;250;36.6873;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;300;43.6997;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;350;50.1532;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;400;57.1253;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;450;69.6096;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;100;500;71.8814;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;10;7.12742;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;50;16.0653;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;100;26.9347;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;150;38.3532;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;200;47.8004;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;250;60.1175;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;300;71.5276;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;350;80.6944;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;400;97.4484;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;450;101.806;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;2;60;500;113.706;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;10;3.60434;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;50;9.6327;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;100;15.1555;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;150;21.2791;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;200;27.4279;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;250;37.0634;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;300;40.6298;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;350;47.3418;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;400;58.4006;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;450;59.6223;NA;~15024;3473.23;10371.4
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;240;500;65.7957;NA;~16672;3834.53;11454.5
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;10;3.66608;NA;~446;176.474;488.193
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;50;9.00048;NA;~1780;492.572;1435.84
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;100;16.6413;NA;~3428;853.872;2518.96
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;150;23.4231;NA;~5076;1215.17;3602.07
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;200;27.4149;NA;~6724;1576.47;4685.19
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;250;36.6122;NA;~8372;1937.77;5768.31
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;300;44.1015;NA;~10054;2344.23;6986.81
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;350;47.4191;NA;~11728;2750.63;8205.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;400;53.7615;NA;~13376;3111.93;9288.3
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;maldishonest;mascot;3;1.8;180;450;59.7656;NA;~15024;3473.23;10371.4
