program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 95               30          0.158882             0.91                 48            86         ~3600         0.0144          0.0288
33       FIELD     semidishonest  soho               3          NA            NA                 NA                 100              30          0.188946             0.93                 47            84         ~3600         0.0144          0.0288
33       BINARY    malhonest      malicious-rep-bin  3          7.56          376                3                  10               30          9.15157              9.26                 34            42         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 15               30          8.16174              8.27                 34            105        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 20               30          7.92741              8.03                 34            105        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 25               30          5.85521              5.96                 34            95         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 30               30          10.9283              11.03                32            105        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 35               30          11.6945              11.80                34            87         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 40               30          6.66509              6.77                 34            110        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 45               30          4.6602               4.76                 33            110        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 50               30          4.98599              5.10                 34            113        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 55               30          12.2473              12.35                33            89         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 60               30          6.66468              6.77                 32            85         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 65               30          4.05723              4.16                 34            95         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 70               30          8.32907              8.43                 34            102        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 75               30          9.35618              9.46                 32            60         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 80               30          6.56412              6.67                 34            96         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 85               30          8.27121              8.38                 33            108        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 90               30          4.96528              5.07                 32            67         NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 95               30          7.92101              8.02                 33            103        NA            4.83932         NA
33       BINARY    malhonest      malicious-rep-bin  3          NA            NA                 NA                 100              30          8.35895              8.47                 34            104        NA            4.83932         NA
33       BINARY    malhonest      malicious-ccd      3          7.56          376                3                  10               30          21.0574              21.17                35            99         NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 15               30          19.0715              19.18                35            83         NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 20               30          17.8888              18.00                35            117        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 25               30          18.702               18.82                34            133        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 30               30          18.0589              18.17                35            157        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 35               30          16.4065              16.53                36            163        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 40               30          16.8474              16.96                37            154        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 45               30          16.3111              16.42                35            148        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 50               30          16.7163              16.82                36            167        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 55               30          17.2562              17.36                35            159        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 60               30          17.0971              17.20                36            168        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 65               30          14.837               14.95                37            132        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 70               30          16.2391              16.34                37            172        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 75               30          14.4342              14.54                35            178        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 80               30          16.6631              16.77                35            169        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 85               30          16.8275              16.93                34            172        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 90               30          15.3516              15.46                37            152        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 95               30          16.7012              16.81                36            170        NA            30.8438         NA
33       BINARY    malhonest      malicious-ccd      3          NA            NA                 NA                 100              30          16.7584              16.87                36            175        NA            30.8438         NA
33       BINARY    malhonest      ps-rep-bin         3          7.56          376                3                  10               30          70.7057              70.81                387           22         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 15               30          52.1716              52.28                387           31         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 20               30          40.5402              40.65                390           34         NA            71.3718         NA
