nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;ram;input_size;runtime(s);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;1200;1.83666;~9047;7.10038;21.4027
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;1400;2.66747;~10524;8.12076;24.3245
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;1600;2.56581;~12078;9.69145;29.1655
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;1800;7.26676;~13555;10.7118;32.0874
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;2000;3.35507;~15032;11.7309;35.0092
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;2200;3.86854;~16563;13.2915;39.8173
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;160;2400;4.12901;~18063;14.3219;42.772
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;10;0.0657185;~178;0.711367;2.0025
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;200;0.370025;~1585;1.58224;4.87423
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;400;0.692482;~3062;2.60262;7.79611
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;600;0.942249;~4539;3.62164;10.718
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;800;1.33047;~6093;5.19369;15.5589
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;1000;1.65369;~7570;6.21271;18.4808
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;1200;1.86998;~9047;7.10038;21.4027
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;1400;2.40688;~10524;8.12076;24.3245
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;1600;5.93326;~12078;9.69145;29.1655
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;1800;2.97021;~13555;10.7118;32.0874
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;2000;3.24154;~15032;11.7309;35.0092
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;2200;3.73292;~16563;13.2915;39.8173
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;200;2400;3.79603;~18063;14.3219;42.772
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;10;0.0705259;~178;0.711367;2.0025
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;200;0.338304;~1585;1.58224;4.87423
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;400;0.65905;~3062;2.60262;7.79611
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;600;1.03779;~4539;3.62164;10.718
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;800;1.32687;~6093;5.19369;15.5589
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;1000;1.61868;~7570;6.21271;18.4808
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;1200;1.90184;~9047;7.10038;21.4027
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;1400;2.46212;~10524;8.12076;24.3245
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;1600;4.08424;~12078;9.69145;29.1655
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;1800;2.86631;~13555;10.7118;32.0874
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;2000;3.51242;~15032;11.7309;35.0092
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;2200;3.56043;~16563;13.2915;39.8173
dogecoin,dogecoincash,dogecoingold;31_scalable_search;RING;malhonest;sy-rep-ring;NA;NA;NA;500;2400;4.19206;~18063;14.3219;42.772
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;2590;652;40;10;0.891742;NA;26.2924;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;51800;13002;40;200;4.68346;NA;130.548;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;103600;26002;40;400;8.99125;NA;234.816;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;155400;39002;40;600;12.9228;NA;339.085;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;207200;52002;40;800;17.9123;NA;469.599;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;259000;65004;40;1000;21.4334;NA;573.867;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;310800;78004;40;1200;25.6806;NA;678.136;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;362600;91005;40;1400;29.7158;NA;808.326;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;414400;104005;40;1600;34.3471;NA;912.918;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;466200;117005;40;1800;37.5963;NA;1017.19;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;518000;130006;40;2000;41.9205;NA;1147.38;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;569800;143006;40;2200;47.445;NA;1251.97;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;621600;156007;40;2400;51.1704;NA;1356.24;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;NA;80;10;0.726471;NA;26.2924;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;NA;80;200;4.58863;NA;130.548;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;NA;80;400;8.74775;NA;234.816;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;NA;80;600;13.2644;NA;339.085;NA
dogecoin,dogecoincash,dogecoingold;31_scalable_search;BINARY;maldishonest;tinier;NA;NA;NA;80;800;17.5819;NA;469.599;NA
