program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.5         800              4096        0.192346             2.56                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.5         600              4096        0.195064             2.58                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.5         400              4096        0.200561             2.56                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.5         200              4096        0.205967             2.62                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.5         50               4096        0.246286             2.63                 290           96         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         3000             4096        0.218651             2.97                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         1000             4096        0.219474             2.94                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         800              4096        0.232742             2.97                 290           97         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         600              4096        0.221687             2.93                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         400              4096        0.229759             2.93                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         200              4096        0.23068              3.03                 290           98         NA            0.520248        NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 1.3         50               4096        0.274883             3.08                 290           93         NA            0.520248        NA
