program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 75               30          2.19652              2.24                 58            45         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 80               30          2.10974              2.15                 62            45         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 85               30          2.00361              2.04                 57            49         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 90               30          1.93777              1.99                 58            49         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 95               30          1.85489              1.90                 56            47         NA            33.8032         NA
31       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 100              30          1.8107               1.86                 60            53         NA            33.8032         NA
31       BINARY    semihonest     shamir-bmr         3          0.42          32                 1                  10               30          5.36394              5.40                 46            6          NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 15               30          3.79617              3.83                 48            8          NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 20               30          3.04388              3.08                 46            10         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 25               30          2.36849              2.40                 45            12         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 30               30          1.98323              2.03                 44            14         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 35               30          1.82341              1.86                 43            17         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 40               30          1.64251              1.69                 46            19         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 45               30          1.44928              1.49                 44            21         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 50               30          1.30375              1.34                 45            23         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 55               30          1.22033              1.27                 46            23         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 60               30          1.12712              1.17                 45            27         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 65               30          1.06862              1.10                 44            28         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 70               30          1.00735              1.04                 43            29         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 75               30          0.966068             1.00                 45            28         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 80               30          0.894465             0.93                 49            33         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 85               30          0.88485              0.93                 48            33         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 90               30          0.799417             0.84                 46            29         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 95               30          0.794586             0.84                 45            33         NA            10.0261         NA
31       BINARY    semihonest     shamir-bmr         3          NA            NA                 NA                 100              30          0.718338             0.76                 43            35         NA            10.0261         NA
31       BINARY    semihonest     rep-bmr            3          0.42          32                 1                  10               30          3.67809              3.72                 38            5          NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 15               30          2.48067              2.52                 38            8          NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 20               30          1.88626              1.93                 42            11         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 25               30          1.53098              1.57                 39            14         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 30               30          1.3005               1.35                 40            16         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 35               30          1.12949              1.17                 36            16         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 40               30          0.998753             1.04                 38            20         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 45               30          0.914183             0.95                 38            22         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 50               30          0.833091             0.87                 40            25         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 55               30          0.765531             0.81                 38            23         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 60               30          0.706254             0.74                 37            27         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 65               30          0.674719             0.72                 43            31         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 70               30          0.628694             0.67                 38            30         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 75               30          0.600219             0.64                 38            33         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 80               30          0.574034             0.62                 39            35         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 85               30          0.544407             0.59                 40            34         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 90               30          0.512469             0.55                 36            31         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 95               30          0.509266             0.55                 38            38         NA            4.82333         NA
31       BINARY    semihonest     rep-bmr            3          NA            NA                 NA                 100              30          0.473401             0.51                 38            39         NA            4.82333         NA
31       BINARY    semihonest     replicated-bin     3          0.42          32                 1                  10               30          0.278853             0.33                 9             86         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 15               30          0.0633258            0.10                 11            77         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 20               30          0.295924             0.33                 11            91         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 25               30          0.295478             0.33                 10            91         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 30               30          0.282995             0.33                 10            88         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 35               30          0.260883             0.30                 10            88         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 40               30          0.248569             0.28                 9             91         NA            0.009746        NA
31       BINARY    semihonest     replicated-bin     3          NA            NA                 NA                 45               30          0.281547             0.32                 11            90         NA            0.009746        NA
