nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;180;37.2172;15;NA;8.33603;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;190;41.3482;16;NA;9.28174;NA
todd,ned,rod;35_set_intersection;BINARY;semihonest;replicated-bin;NA;NA;NA;1.1;200;46.287;13;NA;10.2782;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;30590;2781;1.4;10;0.467137;198;NA;22.7558;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;111980;9161;1.4;20;0.940865;198;NA;25.3604;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;244170;19141;1.4;30;1.6976;201;NA;29.5907;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;427160;32721;1.4;40;2.75476;198;NA;35.4465;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;660950;49901;1.4;50;4.28619;198;NA;64.6962;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;945540;70681;1.4;60;5.8659;199;NA;73.8032;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;1280930;95061;1.4;70;7.99347;199;NA;106.304;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;1667120;123041;1.4;80;10.1248;201;NA;118.662;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;2104110;154621;1.4;90;12.8047;202;NA;154.414;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;2591900;189801;1.4;100;15.825;199;NA;191.792;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;3130490;228581;1.4;110;18.8661;200;NA;209.027;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;3719880;270961;1.4;120;22.3914;200;NA;249.656;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;4360070;316941;1.4;130;26.004;201;NA;291.91;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;5051060;366521;1.4;140;30.3549;200;NA;335.79;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;5792850;419701;1.4;150;34.7712;202;NA;403.064;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;6585440;476481;1.4;160;39.5491;202;NA;450.195;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;7428830;536861;1.4;170;44.368;202;NA;498.952;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;8323020;600841;1.4;180;49.8722;202;NA;571.103;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;9268010;668421;1.4;190;55.1786;201;NA;623.111;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;10263800;739601;1.4;200;61.8166;205;NA;698.513;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;10;0.493113;198;NA;22.7558;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;20;0.996326;198;NA;25.3604;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;30;1.7773;198;NA;29.5907;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;40;2.88453;201;NA;35.4465;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;50;4.51528;199;NA;64.6962;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;60;6.16984;198;NA;73.8032;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;70;8.39286;199;NA;106.304;NA
todd,ned,rod;35_set_intersection;BINARY;semidishonest;semi-bin;NA;NA;NA;1.3;80;10.6334;199;NA;118.662;NA
