comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;datatype;optshare;packbool;protocol;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.01;3;1;1;128;1;0;2;102400;0;2;.004062;NA;.063386;.060334;.060333;1.39;804;1770
0.01;3;1;1;128;1;0;3;1024;0;2;.000027;NA;.000550;.000687;.000687;0.03;15;1375
0.01;3;1;1;128;1;0;3;10240;0;2;.000231;NA;.005113;.006113;.006113;0.15;87;1445
0.01;3;1;1;128;1;0;3;102400;0;2;.002245;NA;.050710;.061433;.061433;1.37;802;1452
0.01;3;1;1;128;1;0;4;1024;0;2;.000027;NA;.000475;.000628;.000628;0.03;14;1405
0.01;3;1;1;128;1;0;4;10240;0;2;.000235;NA;.004361;.005495;.005495;0.14;76;1371
0.01;3;1;1;128;1;0;4;102400;0;2;.002306;NA;.043416;.054752;.054752;1.24;701;1419
0.01;3;1;1;128;1;0;5;1024;0;2;.000027;NA;.000541;.000639;.000639;0.03;19;1343
0.01;3;1;1;128;1;0;5;10240;0;2;.000230;NA;.004803;.005985;.005985;0.15;77;1387
0.01;3;1;1;128;1;0;5;102400;0;2;.002213;NA;.049219;.058756;.058755;1.33;707;1454
0.01;3;1;1;128;1;0;6;1024;0;2;.000009;NA;.000183;.000203;.000203;0.02;11;1426
0.01;3;1;1;128;1;0;6;10240;0;2;.000083;NA;.001597;.001979;.001979;0.07;47;1444
0.01;3;1;1;128;1;0;6;102400;0;2;.000662;NA;.019220;.022528;.022528;0.62;407;1495
0.01;3;1;1;256;1;0;1;1024;0;2;.000023;NA;.001309;.001009;.001009;0.04;23;1815
0.01;3;1;1;256;1;0;1;10240;0;2;.000196;NA;.012957;.009657;.009657;0.23;166;2160
0.01;3;1;1;256;1;0;1;102400;0;2;.001891;NA;.115786;.095563;.095563;2.11;1595;2056
0.01;3;1;1;256;1;0;2;1024;0;2;.000075;NA;.001046;.001115;.001115;0.04;23;1545
0.01;3;1;1;256;1;0;2;10240;0;2;.000538;NA;.010199;.009622;.009622;0.24;166;1748
0.01;3;1;1;256;1;0;2;102400;0;2;.005173;NA;.095258;.090415;.090415;2.09;1601;1809
0.01;3;1;1;256;1;0;3;1024;0;2;.000025;NA;.000935;.001160;.001160;0.04;23;1362
0.01;3;1;1;256;1;0;3;10240;0;2;.000227;NA;.007650;.009253;.009253;0.24;166;1382
0.01;3;1;1;256;1;0;3;102400;0;2;.002094;NA;.066315;.077459;.077459;300.00;1598;9
