nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;140;21.8235;NA;NA;87.4649;NA;0.00016;10;1.79777;0.00016;10;21.8242;0.000704;26;0.00695921;NA;NA;NA;87.4633;281145;20.1179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;150;24.2113;NA;NA;100.164;NA;0.000176;11;2.12244;0.000176;11;24.2111;0.000788;29;0.0090724;NA;NA;NA;100.162;322228;22.2412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;160;28.7918;NA;NA;113.676;NA;0.000192;12;2.69092;0.000192;12;28.7926;0.000872;32;0.0106206;NA;NA;NA;113.674;366111;26.5835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;170;31.4433;NA;NA;128.83;NA;0.000224;14;0.57583;0.000224;14;31.4442;0.00104;38;0.0120556;NA;NA;NA;128.828;412797;28.9551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;180;35.1297;NA;NA;143.968;NA;0.00024;15;1.59754;0.00024;15;35.1294;0.001124;41;0.0114814;NA;NA;NA;143.965;462280;32.3614;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;190;39.2585;NA;NA;159.918;NA;0.000256;16;2.7124;0.000256;16;39.2584;0.001208;44;0.0144757;NA;NA;NA;159.915;514563;36.2123;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3;200;43.5034;NA;NA;177.511;NA;0.000288;18;1.27648;0.000288;18;43.5049;0.001376;50;0.0154762;NA;NA;NA;177.508;569649;40.0553;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;10;0.184605;NA;NA;1.31998;NA;4.8e-05;3;0.182038;4.8e-05;3;0.183888;0.000116;5;0.00226438;NA;NA;NA;1.3197;1884;0.144493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;20;0.570971;NA;NA;2.62294;NA;4.8e-05;3;0.568331;4.8e-05;3;0.5703;0.000116;5;0.00283187;NA;NA;NA;2.62266;6564;0.503065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;30;1.13388;NA;NA;4.7387;NA;4.8e-05;3;1.13052;4.8e-05;3;1.13411;0.000116;5;0.00189099;NA;NA;NA;4.73842;14044;1.02657;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
