nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;45;0.221738;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;50;0.273384;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;55;0.325662;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;60;0.386823;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;3;65;0.456788;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;5;0.0041251;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;10;0.0127652;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;15;0.0260244;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;20;0.0455243;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;25;0.0702204;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;30;0.0994868;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;35;0.133645;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;40;0.175782;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;45;0.223682;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;50;0.268382;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;55;0.328366;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;60;0.388174;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2.2;65;0.454761;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;5;0.00444756;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;10;0.0133879;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;15;0.0287109;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;20;0.0472331;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;25;0.0711554;NA;~626;0.02;0.06
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;30;0.103921;NA;~901;0.0288;0.0864
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;35;0.140763;NA;~1226;0.0392;0.1176
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;40;0.187146;NA;~1601;0.0512;0.1536
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;45;0.234049;NA;~2026;0.0648;0.1944
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;50;0.28165;NA;~2501;0.08;0.24
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;55;0.33355;NA;~3026;0.0968;0.2904
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;60;0.419346;NA;~3601;0.1152;0.3456
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;2;65;0.490074;NA;~4226;0.1352;0.4056
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;1.8;5;0.00479442;NA;~26;0.0008;0.0024
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;1.8;10;0.0142981;NA;~101;0.0032;0.0096
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;1.8;15;0.0279983;NA;~226;0.0072;0.0216
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;1.8;20;0.0492897;NA;~401;0.0128;0.0384
dogecoin,dogecoincash,dogecoingold;35_set_intersection;FIELD;malhonest;malicious-shamir;3;3;1.8;25;0.0763392;NA;~626;0.02;0.06
