program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;cpus;freqs(GHz);quotas(%);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;120;50;6;9.28483;11.30;164;32;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;120;50;9;13.8503;15.87;162;23;~417;20.6033;61.8073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;120;100;3;12.6209;16.54;164;40;~129;20.5987;61.7958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;120;100;6;18.0747;21.99;162;30;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;120;100;9;27.0626;30.98;164;21;~417;20.6033;61.8073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;60;50;3;16.3404;18.36;163;72;~129;20.5987;61.7958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;60;50;6;9.60147;11.62;162;31;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;60;50;9;14.0423;16.06;162;22;~417;20.6033;61.8073;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;60;100;3;12.7587;16.68;167;40;~129;20.5987;61.7958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;RING;maldishonest;spdz2k;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;60;100;6;18.3168;22.24;164;31;~237;20.6004;61.8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
