program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);cpus;freqs(GHz);quotas(%);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;120;50;3;0.554125;3.83;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;120;50;6;1.91077;5.18;13;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;120;50;9;4.171;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;120;100;3;1.10405;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;120;100;6;3.81099;10.29;13;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;120;100;9;8.32421;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;60;50;3;0.554445;3.83;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;60;50;6;1.91066;5.19;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;60;50;9;4.17167;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;60;100;3;1.10398;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;60;100;6;3.81146;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2.6;60;100;9;8.32223;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;240;50;3;0.554465;3.83;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;240;50;6;1.91114;5.19;14;1;~37;0.002304;0.006912
