nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;200;5.21381;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;400;11.6612;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;600;15.3947;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;800;20.573;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;1000;27.4715;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;1200;32.9945;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;1400;38.4966;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;1600;40.6442;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;1800;45.8804;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;120;2000;50.6731;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;10;0.869727;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;200;7.68972;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;400;15.7103;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;600;22.4676;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;800;29.6583;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;1000;37.3275;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;1200;44.4303;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;1400;53.8408;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;1600;59.2326;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;1800;67.3038;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;2;60;2000;73.4873;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;10;0.548169;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;200;5.92183;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;400;11.7654;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;600;16.3996;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;800;23.2527;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;1000;27.0633;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;1200;32.6656;NA;~35412;1661.15;4970.55
