comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    8        128       0         1         0         3         0         0         40960       0           2           .000034      NA          .004467           .013255             .013255            .016805              321           4517
1.41          227                1                  0    8        128       0         1         0         4         0         0         40960       0           0           0.002101     NA          0.129486          0.334481            0.334480           0.42                 201           387
0.01          3                  1                  0    8        128       0         1         0         4         0         0         40960       0           1           .000070      NA          .004504           .010156             .010156            .013958              280           2190
0.02          3                  1                  0    8        128       0         1         0         4         0         0         40960       0           2           .000028      NA          .002873           .010986             .010986            .014444              280           3628
1.42          229                1                  0    8        128       0         1         0         5         0         0         40960       0           0           0.001832     NA          0.150491          0.367353            0.367353           0.45                 242           398
0.02          3                  1                  0    8        128       0         1         0         5         0         0         40960       0           1           .000075      NA          .007382           .012304             .012304            .017291              281           2551
0.02          3                  1                  0    8        128       0         1         0         5         0         0         40960       0           2           .000035      NA          .004608           .013540             .013540            .016875              281           4621
1.40          228                1                  0    8        128       0         1         0         6         0         0         40960       0           0           0.000965     NA          0.048416          0.127812            0.127811           0.21                 162           462
0.02          3                  1                  0    8        128       0         1         0         6         0         0         40960       0           1           .000022      NA          .002951           .003993             .003993            .006875              163           3449
0.02          3                  1                  0    8        128       0         1         0         6         0         0         40960       0           2           .000011      NA          .002151           .005007             .005007            .007847              163           6105
1.48          232                1                  0    8        256       0         1         0         1         0         0         40960       0           0           0.007572     NA          0.358646          0.413167            0.413167           0.55                 638           682
0.02          3                  1                  0    8        256       0         1         0         1         0         0         40960       0           1           .000212      NA          .017033           .033207             .033207            .040833              638           2390
0.02          3                  1                  0    8        256       0         1         0         1         0         0         40960       0           2           .000094      NA          .008258           .033010             .033010            .039513              643           3561
1.46          232                1                  0    8        256       0         1         0         2         0         0         40960       0           0           0.009253     NA          0.299805          0.588808            0.588807           0.71                 640           468
0.02          3                  1                  0    8        256       0         1         0         2         0         0         40960       0           1           .000398      NA          .011539           .025785             .025785            .035625              640           2033
0.02          3                  1                  0    8        256       0         1         0         2         0         0         40960       0           2           .000311      NA          .007704           .031590             .031590            .038888              640           3525
